Number;Start time in milliseconds;End time in milliseconds;"Text"
51;265240;268680;"Imagine, OK.
A whole team just for graphics,"
52;269000;271080;"another for sound, for gameplay."
53;271160.0001;272840;"We're going to be a hit factory."
54;272920;275400;"Like Motown but for computer games."
55;275480;277160.0001;"You heard it here first."
56;280680;282160.0001;"That's Colin's new one."
57;283640;286640;"-Colin Ritman?
-That's him over there."
58;288680;290880;"That's crazy.
I've played all of his games."
59;290960;292040;"Let's say hello."
60;292120;295840;"-Sure he won't mind? He's working.
-He'll be fine. He'll be fine. Shh! Shh!"
61;297200;298160.0001;"Oh. Wait, wait, wait."
62;300600;303440;"What's this, Kajagoogoo? [laughs]"
63;304760;305880;"You wish."
64;306200;309240;"The state of him, he's made enough
this year to buy a Lamborghini"
65;309320;310560;"and he still smokes roll-ups."
66;311000;314720.0001;"Well, pre-rolled has strychnine in them,
so the joke's on him."
67;315320;316200;"[lighter clicks]"
68;316280;318520;"Anyway, this is Stefan, er..."
69;318600;319840;"Butler, Butler."
70;323000;324320;"I'm Colin, yeah?"
71;324800;327640;"Yeah, I've played all of your games.
All of them."
72;327720.0001;331320;"Except the Commodore ones,
I don't... don't have a Commodore."
73;333280;335360;"-Great sound chip, the Commodore.
-Mm-hm."
74;335440;336280;"Yeah."
75;337960;339200;"This is my latest."
76;344160.0001;345600;"It's called Nohzdyve."
77;345680;347520;"[beeps]"
78;351600;355240;"-The sprites are so smooth.
-That took some doing."
79;356680;357640;"[loud beep]"
80;358040;359440;"[Colin] Oh, bollocks."
81;359520;362240;"-What's that?
-It's a buffer error."
82;362360;364920;"The eyeballs have overrun
the video memory--"
83;365000;366680;"Oh, yeah, video memory, yeah."
84;366760;368160.0001;"I was going to say that."
85;368240;370240;"Anyway, listen,
let's get down to business."
86;370320;372600;"Stefan's got something to demo for us."
87;373720.0001;374920;"[man] Bloody hell."
88;376160.0001;378640;"So it's like 3D Monster Maze?"
89;379200;381040;"Only when you're moving
from choice to choice."
90;381120;384120;"-It's actually an adventure game.
-Like<i> The Hobbit?</i>"
91;384200;385280;"Yeah, but..."
92;385360;387200;"without any typing."
93;387440;389240;"Without any typing?"
94;389320;391120;"So no "get lamp" or whatever?"
95;391760;392600;"That's right."
96;395440;396280;"[man chuckles]"
97;396520;397680;"[game beeps]"
98;400240;403440;"[Stefan] Choices come up on the screen
and you pick one against the clock."
99;404680;407560;"OK, he's Pax, he's the demon.
He's in the book."
100;407640;409440;"So we've actually arrived
at a choice point,"
101;409520;411360;"and then you can choose with the joystick."
102;411440;413200;"You've got ten seconds."
103;413560;414600;"Worship him."
104;414680;416880;"No, don't do that,
he's the Thief of Destiny..."
105;416960;418320;"in the book, I mean."
106;419280;421840;"Got a copy of this at home.
Never got around to reading it."
107;422400;424840;"You should.
Jerome F. Davies was a genius."
108;425680;427560;"Didn't he go bonkers
and cut his wife's head off?"
109;427640;429880;"-Yeah, but, I mean, apart from that--
-Excuse me."
110;432000;432840;"[beeps]"
111;434200;435160;"What's happened?"
112;435600;437520;"Well, I haven't programmed
that pathway yet."
113;437600;438560;"Lot of paths then?"
114;439920;442920;"Well, yeah,
if it's going to be like the book."
115;443400;445560;"So, come on.
How do you want to go about this?"
116;447240;450520;"-You're... you're interested?
-That's what I'm saying."
117;450680;453240;"OK, it's July now,
so if we want to hit Christmas,"
118;453320;455320;"then we'll need the tapes in Smiths
by November."
119;455920;458080;"OK. So here's my proposal."
120;458520;459760;"Come and write it here."
121;460880;462080;"-Here?
-Yeah!"
122;462360;465840;"We'll give you a couple of desks,
set up a small team, just for you."
123;466280;467880;"And of course Col's on hand."
124;468520;469600;"What do you reckon?"
125;471120;473280;"Oh, and hey,
I'm hiring this sound chip guy next week,"
126;473360;476080;"so music we can take care of.
All in-house."
127;476320;478560;"So, come on. What's your answer?"
128;483120;483960;"Yes."
129;485360;486440;"Perfect. Perfect."
130;486520;489720;"OK, so the first thing we need to do
is streamline the project a little."
131;489800;492720;"We can't fit a breeze block
of a book into 48K."
132;496760;500080;"Oh, look at this. [chuckles]"
133;500560;501440;"[Satpal] Here you go."
134;501840;503760;"Happy Birthday to me."
135;506480;509080;"Sorry, mate. Wrong path."
136;512120;513040;"[door closes]"
137;513120;516200;"{\an8}[woman on TV] <i>The next game under our</i>
<i>Christmas spotlight is Bandersnatch,</i>"
138;516280;519840;"{\an8}<i>in which the player navigates</i>
<i>a shifting timeline of parallel realities,</i>"
139;519920;522640;"<i>based on the book of the same name</i>
<i>by Jerome F. Davies.</i>"
140;524400;528520;"<i>That's how Bandersnatch works,</i>
<i>but did it "snatch" your respect?</i>"
141;528600;530040;"<i>I'm afraid not, Leslie,</i>"
142;530120;532600;"<i>for the simple reason</i>
<i>that it's just way too short.</i>"
143;532680;535240;"<i>It's over before it's even begun.</i>"
144;535320.0001;538320.0001;"<i>This is the one of the first team-created</i>
<i>games from Tuckersoft,</i>"
145;538400;541880;"<i>and I think that's given it</i>
<i>a very designed-by-committee feel,</i>"
146;541960;545680;"<i>almost like they just rushed out</i>
<i>the simplest, quickest cash-in they could.</i>"
147;545760;547920;"<i>What they should've done</i>
<i>is just gone right back to the start</i>"
148;548000;548840;"<i>and tried again.</i>"
149;549360;552160;"-[woman] <i>And your verdict?</i>
<i>-No stars out of five. Terrible.</i>"
150;552240;556160;"[woman] <i>Oof, well, maybe next week</i>
<i>we'll have something more for you...</i>"
151;558560;560240;"That kid knows nothing."
152;561960;563320.0001;"I should try again."
153;568600;570520;"-[dad] Stefan.
-I'm trying again."
154;573680;575280;"{\an8}["Relax" playing]"
155;575360;576720;"{\an8}<i>♪ Relax, don't... ♪</i>"
156;581600;582600;"Breakfast?"
157;583520;584960;"-Your Bander-what?
-Bandersnatch."
158;585040;586360;"It's a "Choose Your Own Adventure" book."
159;586440.0001;588920;"The bloody hound from next door.
Be the death of us."
160;591320.0001;596320.0001;"<i>♪ ...lovin' start</i>
<i>Whoa, whoa, whoa ♪</i>"
161;597800;599640;"We're going to be a hit factory."
162;599840;602760;"Colin Ritman? That's crazy.
I've played all of his games."
163;602840;605880;"The state of him. He's made enough
this year to buy a Lamborghini"
164;605960;607960;"and he still smokes roll-ups."
165;613400;614600;"We've met before?"
166;615200;616040;"No."
167;618920;620440.0001;"This is what I'm working on."
168;621840;622720;"Nohzdyve."
169;623240;625320.0001;"Yeah... that's right."
170;626960;627840;"[beeps]"
171;632000;633320.0001;"-Oh, bollocks.
-What's that?"
172;633400;634480;"Buffer error."
173;636200;639560;"The eyeball sprite's overshot
the video memory."
174;640960;642200;"How did you know that?"
175;643200;645920;"-Just did.
-Bloody hell, he's good, right?"
176;646400;650960;"Anyway, let's get down to business.
Stefan's got something to demo for us."
177;652760;655360;"[Stefan] You choose with the joystick.
See. You've got ten seconds."
178;655960;657760;"Don't worship him,
he's the Thief of Destiny."
179;658400;661360;"-You've read<i> Bandersnatch?</i>
-Jerome F. Davies. Visionary."
180;661440.0001;663920;"Isn't he that bloke who went cuckoo
and cut his wife's head off?"
181;664400;666160;"That is what people tend to focus on, yes."
182;666240;668760;"Which ending did you get?
When you read it."
183;668840;670360;"-All of them.
-Excuse me."
184;674680;677560;"-What's happened?
-I haven't programmed that path yet."
185;677640;679920;"Right. So a lot of paths then?"
186;680400;682520;"Well, yes,
if it's going to be like the book."
187;682600;684320.0001;"A lot of divergent realities in that book."
188;684800;688480;"It was ahead of its time.
In as much as time exists."
189;689720;692040;"OK. So here's my proposal."
190;692520;693720;"Come and write it here."
191;694840;696680;"-Here?
-We'll give you a couple of desks,"
192;696760;699600;"set up a small team, just for you.
And of course Col's on hand."
193;700360;701440.0001;"What do you reckon?"
194;702840;705040;"Oh, and hey,
I'm hiring this sound chip guy next week,"
195;705120;707440.0001;"so music we can take care of.
All in-house."
196;707760;710200;"So, come on. What's your answer?"
197;712960;713960;"No."
198;720200;724520;"I mean, yes,
I want to do your game, but I-I just..."
199;725040;726400;"I just think I need-I need to..."
200;730480;733800;"I need to write it how I know."
201;734960;737200;"You know, just me. At home."
202;737440.0001;739560;"At home. On your own?"
203;740320.0001;742480;"Yeah, it's just that it's all in my head,"
204;742560;746840;"and I think if I let other people in
it'll just get, I don't know, stressy?"
205;746920;748440.0001;""Stressy"?"
206;749440.0001;754240;"But I know
that I can do it proper justice."
207;754320.0001;755480;"The book."
208;755840;759280;"You know, divergent story paths.
Parallel realities."
209;759360;762040;"-It's still a game though, yeah?
-I get it."
210;762600;764000;"The lad's a craftsman."
211;764880;766760;"He's a lone woodsman. I'm the same."
212;766840;768920;"-Yeah, but--
-It's like I say,"
213;769640;771520;"teams are fine for things
like action titles,"
214;771600;773320.0001;"but when it's a concept piece,"
215;774200;778240;"bit of madness is what you need
and that works best when it's one mind."
216;778320.0001;781040;"Alright, Timothy Leary, we'll debate
<i>The Doors of Perception</i> later--"
217;781120;782600;"That was Huxley not Leary."
218;782680;784760;"[Thakur] If you're going to write this
on your tod ,the important thing is"
219;784840;788520;"putting it out for Christmas, so I'll need
finished code by 12th September."
220;788600;790640;"-OK, sure.
-But no later."
221;799120;800480;"What do you listen to?"
222;801160;804040;"-Hmm?
-To get in to the flow."
223;805960;807240;"Oh, music?"
224;810280;812920;"Er... Thompson Twins."
225;814360;815480;"Get a pen."
226;817080;817920;"[microwave beeps]"
227;820320.0001;821520;"I'm defrosting mince."
228;826680;829240;"-It's like alien technology, this thing.
-[beeps]"
229;830000;833440.0001;"Oh. How... How did it go?"
230;835160;837520;"Er, good. Yeah, really good."
231;839480;842320.0001;"-They're taking it.
-Oh, well, that's great, isn't it?"
232;844080;846040;"-Well done, mate.
-You've got mince juice on your hands."
233;848480;849320.0001;"Yes."
234;852520;857520;"So, how does it work then?
Do you go into their office, or...?"
235;857600;858960;"No, I write it here."
236;859920;862640;"-On-on your own?
-Yes."
237;867240;868240;"And..."
238;869120;872280;"Is that the best way
to work on something like this?"
239;872360;873480;"Why wouldn't it be?"
240;873960;876200;"[woman] <i>Well, the graphics</i>
<i>are certainly impressive, Robin,</i>"
241;876320;879120;"<i>but the big question is,</i>
<i>what's it like to play?</i>"
242;879720;881560;"<i>Well, the gameplay is just as impressive.</i>"
243;881640;885320;"<i>I must say, this is a Colin Ritman game,</i>
<i>so we'd expect little else,</i>"
244;885400;889200;"<i>but even by his standards</i>
<i>this is really most impressive.</i>"
245;889280;892080;"<i>It's challenging,</i>
<i>there's quite a big learning curve,</i>"
246;892160;896240;"<i>so you die a lot and have to try again</i>
<i>but I didn't really mind that much.</i>"
247;896320;899200;"[woman] <i>So it sounds great</i>
<i>but what's your verdict, Robin?</i>"
248;899280;902040;"[Robin] <i>Four stars out of five.</i>
<i>Colin Ritman does it again.</i>"
249;902120;905120;"-[woman] <i>So not quite perfect.</i>
<i>-</i>[Robin] Well, nothing's perfect."
250;909440;912120;"So there I am, there's Colin Ritman--"
251;912200;915040;""The actual Colin Ritman,"
I believe you called him."
252;915120;921000;"Yeah, exactly. And Mr. Thakur's
offering me the chance to work there"
253;921160;924160;"in their own office alongside Colin."
254;926200;927240;"And I just..."
255;928400;932240;"-I don't know. It was too...
-Too?"
256;932680;933920;"Good to be true."
257;935960;938520;"-I said no.
-You said no?"
258;939400;940880;"Well, not to the whole thing,"
259;940960;943800;"just to working there,
being under their control."
260;944320;946320;"I don't know where it came from,
I just said no"
261;946400;950000;"and then had to justify it
by saying that I prefer to work alone."
262;951440;954600;"But I just don't know
where the urge to say it came from."
263;955240;959040;"It sounds like you're growing
in confidence. I think it's a good sign."
264;960400;963000;"Well, they're still letting me
do the game, so..."
265;963080;967520;"Well done, Stefan. That's great.
That's great."
266;969280;970720;"You sound like my dad."
267;975680;976640;"Oh."
268;978920;979800;"Sorry."
269;981440;983600;"He gets on my nerves sometimes."
270;984120;987240;"Like this... I'm fine now,"
271;988200;992200;"I don't see why I need
to keep coming to these sessions."
272;994840;998360;"It just feels like being...
I don't know, monitored."
273;999960;1004360;"Perhaps you're feeling intruded upon
because of the anniversary looming."
274;1005200;1010040;"It's a difficult time of year for you.
We can't underestimate that."
275;1011680;1015280;"Would you like to talk about what
happened with your mother?"
276;1017360;1023360;"It can be helpful to revisit things.
Even if you feel you've done this before."
277;1024800;1027960;"You might discover something new."
278;1030560;1032400;"I keep thinking about that morning."
279;1035280;1036360;"Reliving it."
280;1038120;1039280;"<i>Rabbit.</i>"
281;1039360;1040480;"<i>It was because of Rabbit.</i>"
282;1040560;1043640.0001;"<i>He was this stupid toy that my mum</i>
<i>had made for me when I was born.</i>"
283;1044640.0001;1046200;"I used to take him everywhere."
284;1046840;1049600;"I think Dad thought it was sissy
or something."
285;1052040;1054440;"<i>He and Mum used to</i>
<i>have these rows about it.</i>"
286;1054520;1057560;"[dad] By five, he should've
stopped playing with dolls."
287;1058320;1061000;"<i>[Stefan] I know he took rabbit away</i>
<i>and hid it somewhere.</i>"
288;1062880.0001;1067080;"<i>That morning, Mum was going</i>
<i>to visit Granddad and Grandma.</i>"
289;1067200;1070920;"<i>I was supposed to be going with her,</i>
<i>but I couldn't find Rabbit anywhere.</i>"
290;1071000;1072960;"<i>And I refused to go without him.</i>"
291;1073040;1074800;"[mum]
Come on, Stefan, we're going to be late."
292;1075400;1077080;"Are you coming or not?"
293;1087960;1089200;"[Stefan] No!"
294;1089760;1092480;"[dad] Come on.
You'll have to catch the 8:45, now."
295;1094520;1096000;"<i>[Stefan] So I held her up.</i>"
296;1096680;1100240;"<i>Because of me she had to catch</i>
<i>a later train. Because of me.</i>"
297;1101680;1104720;"[Haynes] Stefan, how old were you
when this happened?"
298;1107560;1108440;"Five."
299;1109800;1111640.0001;"You were five years old."
300;1112080;1113520;"And you couldn't have known."
301;1114640.0001;1115720;"Stefan."
302;1116760;1118640.0001;"You couldn't have known."
303;1119200;1123320;"[man on TV] <i>The Emergency Services say</i>
<i>the 8:45 train derailed</i>"
304;1123400;1126800;"<i>at high speed</i>
<i>outside Queenstown Road Station.</i>"
305;1129600;1134560;"<i>As the death toll continues to rise,</i>
<i>transport police have opened an inquiry,</i>"
306;1134640.0001;1137040;"<i>but the cause is not yet clear.</i>"
307;1139880.0001;1141760;"I fucking hate him for it."
308;1143600;1145840;"The past is immutable, Stefan."
309;1147520;1150800;"No matter how painful it is,
we can't change things,"
310;1150880.0001;1153800;"we can't choose differently,
with hindsight."
311;1154640.0001;1156840;"We all have to learn to accept that."
312;1161960;1165280;"Remember, any time you need me,
just pick up the phone."
313;1165960;1167240;"You know the number."
314;1169480;1171880.0001;"["Too Shy" playing]"
315;1172040;1174040;"<i>♪ Hush, hush, eye to eye ♪</i>"
316;1174280;1176280;"<i>♪ Too shy, shy ♪</i>"
317;1176680;1178120;"<i>♪ Hush, hush ♪</i>"
318;1178200;1179320;"<i>♪ Eye to eye ♪</i>"
319;1179440;1181080;"<i>♪ Too shy, shy ♪</i>"
320;1181160;1182960;"♪ Hush, hush, eye to eye... ♪"
321;1183040;1185680;"[music continues over speakers]"
322;1246920;1247840;"Thank you."
323;1272960;1274960;"[menacing electric music plays]"
324;1302400;1305960;"[electronic music plays]"
325;1343000;1344720;"[breathes heavily]"
326;1358720;1360200;"[knock on door]"
327;1365680;1366520;"Stefan?"
328;1367520;1369320;"Um, tea."
329;1372480;1375520;"Er, look, I'm going to go to the pub
for some lunch."
330;1375760;1379440;"-If you fancy tagging along.
-No. I'm alright."
331;1381160;1385680;"-You didn't have any breakfast.
-Dad, I'm fine."
332;1387640.0001;1389160;"[dad] Is everything alright?"
333;1395560;1398840;"Stefan, I'm worried about you.
You've been stuck in your room for weeks."
334;1405080;1406080;"Stefan?"
335;1407000;1408200;"Will you talk to me?"
336;1412680;1414960;"Look, I can't help if you just sit there
and don't speak!"
337;1416760;1418360;"[inhales]"
338;1419800;1422680;"[dad] Stefan, what the hell are you doing?
That's all your work!"
339;1422760;1425240;"[beeps]"
340;1430200;1431800;"[inhales]"
341;1433400;1435000;"[inhales]"
342;1436640.0001;1438200;"[inhales]"
343;1439800;1441400;"[inhales]"
344;1443000;1444600;"[inhales]"
345;1446200;1447800;"[inhales]"
346;1449400;1451000;"[inhales]"
347;1452600;1454200;"[inhales]"
348;1455800;1456880.0001;"[inhales]"
349;1458600;1460040;"[dad] Is everything alright?"
350;1466360;1469800;"Stefan, I'm worried about you.
You've been stuck in your room for weeks."
351;1476720;1477720;"Stefan?"
352;1478800;1479960;"Will you talk to me?"
353;1484600;1486880.0001;"Look, I can't help if you just sit there
and don't speak!"
354;1486960;1488720;"Dad, just fuck off!"
355;1495320;1496480;"I'm sorry."
356;1497560;1499760;"I'm... I'm just..."
357;1500040;1502240;"-I'm-I'm just stressed.
-Get your coat."
358;1503360;1504760;"We're going for lunch."
359;1505400;1508440;"-Dad. I need to finish this.
-And we'll go in the car."
360;1509080;1512560;"["Making Plans For Nigel" playing]"
361;1512640.0001;1516040;"<i>♪ We're only making plans for Nigel ♪</i>"
362;1518920;1522880.0001;"<i>♪ We only want what's best for him ♪</i>"
363;1525440;1527120;"[music continues on radio]"
364;1527200;1528200;"[music stops]"
365;1531160;1532360;"We're here."
366;1548280;1550200;"This is Dr. Haynes' place."
367;1551120;1554720;"-You said we were getting lunch.
-You need to speak to her."
368;1555200;1556880.0001;"You're under pressure, you're..."
369;1556960;1559520;"You're not sleeping, you're not eating."
370;1560200;1562480;"I'm concerned about you, OK?"
371;1563920;1569080;"I think the healthiest thing to do
is to talk about any concerns you may have"
372;1569160;1571400;"instead of bottling them up inside."
373;1577520;1580680;"[Stefan] Don't know if it's the deadlines,
but my head is all over the place."
374;1581400;1584160;"I keep having these vivid dreams.
Like thinking weird things."
375;1584240;1585480;"What sort of things?"
376;1587600;1590160;"-Like I'm not in control.
-Of?"
377;1590840;1594240;"Anything, little things, tiny decisions."
378;1594320;1596720;"What I have for breakfast in the morning.
What music I listen to."
379;1596800;1598600;"Whether I shout at Dad, or..."
380;1598680;1600760;"You feel like you're not making
these decisions?"
381;1602200;1604680;"I feel like I'm not guiding them.
Like someone else is."
382;1605680;1607520;"You're not hearing voices or...?"
383;1608000;1610880.0001;"No voices, but there is something."
384;1611480;1614080;"I-I don't know, an impulse."
385;1614160;1615480;"I'm sure there is."
386;1616320;1618960;"OK. The fact that you're aware
of your mental state"
387;1619040;1621320;"is actually reassuring."
388;1621920;1624440;"But it sounds like you're starting
to dissociate"
389;1624520;1625960;"so we want to nip that in the bud"
390;1626040;1629640.0001;"before you start
to seriously entertain delusions."
391;1629720;1631600;"I don't think we're there yet though."
392;1632800;1634040;"We can't overlook the fact"
393;1634120;1637240;"that the anniversary
of your mother's death is due,"
394;1637720;1640120;"and as we know, that's a stressor."
395;1647840;1649600;"[grunts]"
396;1649680;1650840;"Ah!"
397;1653240;1654200;"[Haynes] With that in mind,"
398;1654280;1656960;"I think it's important that you stay
on the pharmaceutical path"
399;1657040;1658360;"at least for the next few months."
400;1658760;1661280;"I'm upping the dosage slightly."
401;1663800;1664960;"Stefan."
402;1665680;1667080;"Don't see this as a setback."
403;1668000;1670280;"You're not alone. We're in it together."
404;1671480;1674640.0001;"One for all, and all..."
405;1676880.0001;1677840;"For one."
406;1681840;1685040;"If anything happens, just call me."
407;1685120;1686320;"You know the number."
408;1690040;1691680;"[telephone rings]"
409;1693120;1696520;"-How was it?
-It was fine."
410;1707520;1708360;"[pulls handbrake]"
411;1749520;1751960;"{\an8}["Silent Night" playing]"
412;1770880;1772160;"[TV jingle plays]"
413;1772240;1774800;"<i>So, Bandersnatch. Worth it?</i>"
414;1774880;1778280;"[sighs] <i>I wish I could say yes</i>
<i>but it's frustrating.</i>"
415;1778360;1782600;"<i>It's as if the creator simply gave up</i>
<i>halfway through and went on autopilot.</i>"
416;1782920;1786280;"<i>If we had second chances in life,</i>
<i>I'd hope they'd choose differently</i>"
417;1786360;1788440;"<i>but, er, sadly we don't.</i>"
418;1788640;1791320;"<i>And nor do they. If that makes sense?</i>"
419;1791400;1794080;"-[woman] <i>So your verdict?</i>
<i>-Two and a half stars out of five.</i>"
420;1794160;1795360;"<i>Disappointing.</i>"
421;1795440;1797520;"[woman] <i>Oh, dear. Well, maybe next week</i>"
422;1797600;1799800;"<i>we'll have something more</i>
<i>to float your boat, Robin.</i>"
423;1800720;1802080;"I should try again."
424;1808440;1810680;"[dad] <i>I'm concerned about you, OK?</i>"
425;1812520;1814200;"<i>You need to speak to her.</i>"
426;1816280;1818600;"<i>I'm concerned about you, OK?</i>"
427;1820400;1822040;"<i>You need to speak to her.</i>"
428;1824120;1826320;"<i>I'm concerned about you, OK?</i>"
429;1828240;1829880;"<i>You need to speak to her.</i>"
430;1832000;1834240;"<i>I'm concerned about you, OK?</i>"
431;1905560;1907880;"[indistinct chatter]"
432;1909520;1910720;"[Thakur] Looking good."
433;1911360;1912840;"Good job I doubled the advertising."
434;1914840;1916480;"[beeps]"
435;1916880;1918400;"-That's not...
-[sighs]"
436;1918480;1921480;"Stefan, mate. This is due today.
You said it was stable."
437;1921560;1923360;"-It was, I just--
-Just what?"
438;1924120;1927440;"-Did you add a new path?
-The government conspiracy branch."
439;1927880;1930000;"One of the alternate timelines
in the novel."
440;1930200;1932480;"Jerome F. Davies
was into his conspiracy theories."
441;1932560;1936040;"-Before or after he went psycho?
-I thought I'd tied up all the loose ends."
442;1936120;1938800;"If it's something you've added,
let's just take it out."
443;1938880;1942200;"-No, it's important.
-Stefan, mate. The deadline is today."
444;1942280;1944240;"I just need the weekend.
I know I can add this new path in."
445;1944320;1947760;"-Oh, it's complicated enough.
-Just the weekend. Please."
446;1951440;1953120;"-First thing Monday.
-[Stefan] First thing."
447;1953200;1954240;"Okay."
448;1954520;1957160;"Shit, I've got to run,
meeting the John Menzies guys."
449;1957560;1961720;"Just don't fuck up.
There's a lot riding on this now."
450;1961800;1962800;"I know."
451;1964680;1965720;"[door slams]"
452;1966680;1968880;"Here. That's for you."
453;1970720;1971720;"[Stefan] What is it?"
454;1971800;1974600;"Taped it off the telly.
Documentary about Jerome."
455;1974840;1978160;"A bit of inspiration maybe.
Pop it on while you work."
456;2003760;2005400;"[dad] Are you having a film night?"
457;2012840;2014920;"[TV whirs]"
458;2015000;2016960;"<i>Sugar Puffs from Quaker.</i>"
459;2017480;2019480;"<i>Tell them about the honey, yummy.</i>"
460;2024600;2025960;"[man on TV] <i>Towards the end of his life,</i>"
461;2026040;2030320;"<i>Davies was apparently self-administering</i>
<i>hallucinogens on a daily basis.</i>"
462;2030680;2032680;"<i>This, coupled with his attempts</i>"
463;2032760;2035880;"<i>to complete the complex multiple</i>
<i>narratives of</i> Bandersnatch"
464;2035960;2038080;"<i>was to prove the final straw.</i>"
465;2038320;2040840;"<i>He became obsessed</i>
<i>with bizarre symbols</i>"
466;2040920;2043280;"<i>and the limitations</i>
<i>of his own free will.</i>"
467;2043920;2047400;"<i>In his notes,</i>
<i>Davies repeatedly sketched a glyph</i>"
468;2047480;2052840;"<i>which to him represented multiple fates,</i>
<i>potential realities splitting in two.</i>"
469;2053680;2057720;"<i>It was the start</i>
<i>of his complete mental collapse.</i>"
470;2057840;2061240;"<i>Davies became convinced</i>
<i>he had no control over his fate</i>"
471;2061320;2064640;"<i>because his wife was spiking him</i>
<i>with psychoactive drugs</i>"
472;2064720;2069160;"<i>at behest of a demon called Pax,</i>
<i>a sort of lion figure</i>"
473;2069440;2071680;"<i>who he claimed he'd seen in a vision,</i>"
474;2071760.0001;2073800;"<i>and who ended up</i>
<i>being incorporated into the book.</i>"
475;2077200;2079240;"<i>It was this that led him to kill her.</i>"
476;2080040;2084640;"<i>He decapitated her and daubed the</i>
<i>glyph symbol on the walls with her blood.</i>"
477;2086840;2088840;"<i>After his arrest, he told police</i>"
478;2088920;2092280.0001;"<i>we exist within</i>
<i>multiple parallel realities at once.</i>"
479;2093520;2097720;"<i>One reality for each possible course</i>
<i>of action we might take in life.</i>"
480;2098480;2100720;"<i>Whatever we choose to do</i>
<i>in this existence,</i>"
481;2100800;2104000;"<i>there’s another one out there</i>
<i>in which we’re doing quite the opposite,</i>"
482;2104080;2108920;"<i>which renders free will meaningless.</i>
<i>Nothing but an illusion.</i>"
483;2109600;2112760.0001;"<i>If you follow that line of thinking</i>
<i>to its logical conclusion...</i>"
484;2112840;2114200;"[yells]"
485;2116920;2118360;"<i>...they're not even your actions.</i>"
486;2119760.0001;2122640;"<i>Your fate has been dictated,</i>
<i>it's out of your hands.</i>"
487;2122720;2123960;"[Stefan sobs]"
488;2124600;2126480;"-<i>You're just a puppet.</i>
-[dad] Shh, shh, shh."
489;2127240;2128640;"<i>You're not in control.</i>"
490;2134560;2136760.0001;"[dad] <i>I'm concerned about you, OK?</i>"
491;2138680;2140320;"<i>You need to speak to her.</i>"
492;2142400;2144520;"<i>I'm concerned about you, OK?</i>"
493;2146520;2148160;"<i>You need to speak to her.</i>"
494;2150240;2152400;"<i>I'm concerned about you, OK?</i>"
495;2154360;2156000;"<i>You need to speak to her.</i>"
496;2158120;2160240;"<i>I'm concerned about you, OK?</i>"
497;2161800;2165080;"[woman on TV] <i>Davies became convinced</i>
<i>he had no control over his fate</i>"
498;2165160;2168720;"<i>because his wife was spiking him</i>
<i>with psychoactive drugs.</i>"
499;2169120;2171160;"<i>It was this that led him to kill her.</i>"
